date,location,positive,negative,neutral,total,perception
2019-11-24,Arizona,7,1,4,12,0.75
2019-11-24,Idaho,2,0,1,3,0.8333333333333333
2019-11-24,North Carolina,1,1,2,4,0.5
2019-11-24,Florida,15,5,8,28,0.6785714285714286
2019-11-24,Arkansas,10,11,10,31,0.4838709677419355
2019-11-24,Indiana,9,5,12,26,0.5769230769230769
2019-11-24,Washington,2,0,0,2,1.0
2019-11-24,Alabama,19,16,16,51,0.5294117647058824
2019-11-24,California,21,6,13,40,0.6875
2019-11-24,Nebraska,11,6,7,24,0.6041666666666666
2019-11-24,Texas,6,5,2,13,0.5384615384615385
2019-11-24,Massachusetts,4,3,2,9,0.5555555555555556
2019-11-24,Connecticut,2,2,0,4,0.5
2019-11-24,Pennsylvania,4,1,2,7,0.7142857142857142
2019-11-24,Delaware,2,2,4,8,0.5
2019-11-24,Iowa,7,1,1,9,0.8333333333333334
2019-11-24,Colorado,13,5,6,24,0.6666666666666666
2019-11-24,Hawaii,12,5,8,25,0.64
2019-11-24,Georgia,8,3,6,17,0.6470588235294118
2019-11-24,Louisiana,3,4,3,10,0.44999999999999996
2019-11-24,Illinois,8,3,3,14,0.6785714285714285
2019-11-24,Michigan,0,1,3,4,0.375
2019-11-24,Mississippi,1,0,1,2,0.75
2019-11-24,Oregon,2,1,4,7,0.5714285714285714
2019-11-24,Kansas,4,0,0,4,1.0
2019-11-24,Kentucky,2,0,0,2,1.0
2019-11-24,New York,6,1,2,9,0.7777777777777777
2019-11-24,Wisconsin,2,0,0,2,1.0
2019-11-24,Maryland,1,0,0,1,1.0
2019-11-24,Alaska,2,0,3,5,0.7
2019-11-24,Utah,0,0,1,1,0.5
2019-11-24,Missouri,1,0,1,2,0.75
2019-11-24,West Virginia,0,1,0,1,0.0
2019-11-24,New Jersey,0,0,1,1,0.5
2019-11-24,North Dakota,1,0,0,1,1.0
2019-11-24,South Carolina,0,1,0,1,0.0
2019-11-24,Maine,0,0,1,1,0.5
2019-11-23,Alabama,94,89,125,308,0.5081168831168831
2019-11-23,Nevada,0,0,3,3,0.5
2019-11-23,Texas,21,39,51,111,0.41891891891891897
2019-11-23,Indiana,31,53,52,136,0.4191176470588235
2019-11-23,Illinois,24,32,28,84,0.45238095238095233
2019-11-23,Delaware,13,15,19,47,0.4787234042553191
2019-11-23,Louisiana,15,23,52,90,0.4555555555555555
2019-11-23,Pennsylvania,7,7,12,26,0.5
2019-11-23,Hawaii,44,39,53,136,0.5183823529411765
2019-11-23,California,58,53,77,188,0.5132978723404256
2019-11-23,Florida,41,27,45,113,0.5619469026548672
2019-11-23,Georgia,23,36,39,98,0.4336734693877551
2019-11-23,Colorado,30,36,45,111,0.472972972972973
2019-11-23,Arkansas,41,43,65,149,0.49328859060402686
2019-11-23,Massachusetts,18,19,19,56,0.4910714285714286
2019-11-23,North Carolina,2,4,4,10,0.4
2019-11-23,Virginia,2,1,1,4,0.625
2019-11-23,Arizona,10,8,19,37,0.527027027027027
2019-11-23,Washington,10,10,13,33,0.5
2019-11-23,Oregon,9,5,11,25,0.58
2019-11-23,Nebraska,32,28,40,100,0.52
2019-11-23,New York,9,12,25,46,0.46739130434782605
2019-11-23,Iowa,11,18,9,38,0.40789473684210525
2019-11-23,Wisconsin,1,3,1,5,0.30000000000000004
2019-11-23,Connecticut,9,4,2,15,0.6666666666666666
2019-11-23,South Carolina,0,2,1,3,0.16666666666666666
2019-11-23,Kansas,3,9,12,24,0.375
2019-11-23,Michigan,5,4,7,16,0.53125
2019-11-23,Alaska,9,9,10,28,0.5
2019-11-23,Missouri,9,3,7,19,0.6578947368421052
2019-11-23,New Jersey,10,5,5,20,0.625
2019-11-23,Idaho,4,2,4,10,0.6000000000000001
2019-11-23,Utah,3,4,3,10,0.44999999999999996
2019-11-23,Maryland,1,0,1,2,0.75
2019-11-23,Maine,1,1,3,5,0.5
2019-11-23,Ohio,3,4,3,10,0.44999999999999996
2019-11-23,Minnesota,1,2,5,8,0.4375
2019-11-23,West Virginia,0,0,1,1,0.5
2019-11-23,Mississippi,0,4,3,7,0.21428571428571427
2019-11-23,Kentucky,2,3,5,10,0.45
2019-11-23,New Hampshire,0,1,2,3,0.3333333333333333
2019-11-23,Oklahoma,1,1,2,4,0.5
2019-11-23,Montana,0,1,1,2,0.25
2019-11-23,Rhode Island,0,1,0,1,0.0
2019-11-23,New Mexico,0,0,1,1,0.5
2019-11-23,North Dakota,0,0,1,1,0.5
2019-11-22,Arizona,81,48,123,252,0.5654761904761905
2019-11-22,Pennsylvania,28,15,47,90,0.5722222222222222
2019-11-22,Alaska,51,31,64,146,0.5684931506849316
2019-11-22,Georgia,164,71,258,493,0.5943204868154158
2019-11-22,California,307,220,622,1149,0.5378590078328982
2019-11-22,Nebraska,314,98,323,735,0.6469387755102041
2019-11-22,Hawaii,274,79,249,602,0.6619601328903655
2019-11-22,Indiana,204,97,267,568,0.5941901408450705
2019-11-22,Oregon,53,20,75,148,0.6114864864864865
2019-11-22,Alabama,370,241,648,1259,0.5512311358220809
2019-11-22,Arkansas,192,124,381,697,0.5487804878048781
2019-11-22,Illinois,89,48,150,287,0.5714285714285714
2019-11-22,Connecticut,17,6,29,52,0.6057692307692308
2019-11-22,Florida,106,84,239,429,0.5256410256410257
2019-11-22,Colorado,189,109,242,540,0.5740740740740741
2019-11-22,Missouri,40,30,65,135,0.537037037037037
2019-11-22,Iowa,52,22,87,161,0.5931677018633541
2019-11-22,Texas,80,66,305,451,0.5155210643015521
2019-11-22,Delaware,89,24,124,237,0.6371308016877637
2019-11-22,Louisiana,73,61,155,289,0.5207612456747405
2019-11-22,New York,74,35,140,249,0.5783132530120482
2019-11-22,Kansas,24,20,35,79,0.5253164556962026
2019-11-22,Massachusetts,134,39,122,295,0.6610169491525424
2019-11-22,New Jersey,24,6,38,68,0.6323529411764706
2019-11-22,Michigan,20,15,58,93,0.5268817204301075
